Date,NO2,O3,PM2.5,PM10
2023-05-30 23:00:00,23.16154964882656,54.659063611133824,15.243114756613686,21.190701133211455
2023-05-31 23:00:00,23.59036578247372,53.83545261951886,15.532399677778955,21.46162447312847
2023-06-01 23:00:00,23.848422835695565,52.9954524825275,15.759275952805408,21.778792286738756
2023-06-02 23:00:00,24.0603074436785,52.30268375895881,15.926165336828968,22.087592518292368
2023-06-03 23:00:00,23.59517812183665,52.60599582132419,15.538684515081922,21.79200499350826
2023-06-04 23:00:00,23.147630561084267,52.91500119286854,15.170779683068396,21.509215357955547
2023-06-05 23:00:00,22.603083704408444,53.31076067692183,14.761035651699284,21.17332628414035
2023-06-06 23:00:00,23.00014815300223,52.5912049562407,15.04078012795116,21.59654073484242
2023-06-07 23:00:00,22.955136986567112,52.4940800814922,14.99408438937882,21.693985145613553
2023-06-08 23:00:00,22.92250969729567,52.409858836905066,14.928410363920895,21.757094675780586
2023-06-09 23:00:00,22.927675065414952,52.35543152354075,14.854378270300536,21.804267949685457
2023-06-10 23:00:00,22.97138327703221,52.24737603695857,14.807348665014771,21.871448837171
2023-06-11 23:00:00,23.08621749282434,52.004157507639974,14.852078661523189,22.033621544192236
2023-06-12 23:00:00,23.11255297353682,51.86344111812313,14.830339866933917,22.11793285964057
2023-06-13 23:00:00,23.057566422177096,51.83584595103207,14.749566922938596,22.128493248211843
2023-06-14 23:00:00,23.192532567311826,51.60553556679091,14.781688158006338,22.259479218504083
2023-06-15 23:00:00,23.114908046950916,51.61117921189298,14.693018044774924,22.251032025000704
2023-06-16 23:00:00,23.25115159876982,51.35599615495801,14.742308172003296,22.387752812840045
2023-06-17 23:00:00,23.305950022963323,51.257914118000194,14.71875998268907,22.44826309910665
2023-06-18 23:00:00,23.872440403915668,50.414401376297306,15.096804591082039,22.95120352526506
2023-06-19 23:00:00,23.603195590698057,50.754442280986936,14.823305865298385,22.73904320986321
2023-06-20 23:00:00,23.826535052801628,50.40412994221155,14.950126357856567,22.94780816689755
2023-06-21 23:00:00,23.868903148679305,50.292525731589194,14.973446540634795,23.049054373422017
2023-06-22 23:00:00,23.901987981799444,50.17505213006069,14.994973614869211,23.14168299001331
2023-06-23 23:00:00,23.903005262031567,50.09794639321824,15.001455514964006,23.212655896407863
2023-06-24 23:00:00,23.929166550923473,49.95442624081468,15.055791101110385,23.332556321918965
2023-06-25 23:00:00,24.120141172765262,49.58787374889359,15.256228389669785,23.62563818116983
2023-06-26 23:00:00,23.973267274776415,49.77161277375251,15.152223208274409,23.575418721909326
2023-06-27 23:00:00,23.752052952883787,50.037771591681974,15.012254881679727,23.467094080088042
2023-06-28 23:00:00,23.097695572521058,50.81948416205921,14.58805686454647,23.013916394890597
2023-06-29 23:00:00,22.3752547384494,51.575096002568415,14.157430691716192,22.526877307693166
2023-06-30 23:00:00,21.85528983149232,52.019083820205914,13.867929164341724,22.187302363564573
2023-07-01 23:00:00,21.887443319011812,51.846094810537416,13.896716618129556,22.198542941162984
2023-07-02 23:00:00,21.924757529535373,51.68256455005998,13.893312806270732,22.191766191348435
2023-07-03 23:00:00,22.017520480382565,51.42710608324403,13.912704762157341,22.20857817352439
2023-07-04 23:00:00,21.978071839417627,51.287098535552,13.845902104346226,22.13302272052194
2023-07-05 23:00:00,22.41131244530725,50.57831991955777,14.074411883341293,22.36414871723702
2023-07-06 23:00:00,22.853088450404773,49.874688307896626,14.299646511308564,22.613430313877764
2023-07-07 23:00:00,23.38199055903586,49.06136681003174,14.59213818154083,22.94655812751502
2023-07-08 23:00:00,23.656149904151135,48.603771035324144,14.712631492725073,23.10497792300458
2023-07-09 23:00:00,23.788533365226222,48.33531864002519,14.737894616913625,23.15657033054779
2023-07-10 23:00:00,24.294943825985396,47.58031631318701,15.06125511488376,23.53143130256484
2023-07-11 23:00:00,24.798843601970766,46.853035571090174,15.39302905403221,23.93933242165794
2023-07-12 23:00:00,24.948718244388623,46.61927579096264,15.460688364971432,24.062833519267542
2023-07-13 23:00:00,25.056394337634156,46.446097154818716,15.51733496022196,24.1641439736262
2023-07-14 23:00:00,25.131419916032172,46.34108472167557,15.568559885770085,24.257110589692992
2023-07-15 23:00:00,24.80705152055599,46.7303878757321,15.328166080395192,24.01591863339146
2023-07-16 23:00:00,24.383533140811746,47.23585982056954,15.044172539483185,23.712445385307074
2023-07-17 23:00:00,24.390658747551836,47.09058336581022,15.119378866763931,23.780444734332463
2023-07-18 23:00:00,24.303179615261914,47.07895294198388,15.116983169517841,23.774894280135634
2023-07-19 23:00:00,23.980209399465505,47.41167968262123,14.900318330067856,23.544403778302176
2023-07-20 23:00:00,23.676539637388178,47.692606791053784,14.699341968912634,23.32839697300146
2023-07-21 23:00:00,23.574753550235496,47.679251669284255,14.658668860126863,23.26961579148968
2023-07-22 23:00:00,23.60629388254658,47.44761841463118,14.70148034449667,23.300292735621333
2023-07-23 23:00:00,23.859982204908547,46.929879442799894,14.887403388421697,23.478789979293943
2023-07-24 23:00:00,24.235978733443872,46.24180623195612,15.14350032965438,23.743144676511488
2023-07-25 23:00:00,24.477629239725694,45.745544715925256,15.300039845561754,23.914745054853462
2023-07-26 23:00:00,24.752118388021245,45.2512246138095,15.459124891581732,24.095831765582165
2023-07-27 23:00:00,25.060946550545033,44.67879646348116,15.669366461189036,24.326721721341215
2023-07-28 23:00:00,25.382609166408372,44.09247591636959,15.893272136775062,24.57990567556272
